run,sample,barcode,barcode_kit
P201-P205,P201,NB01,EXP-NBD104
P201-P205,P202,NB02,EXP-NBD104
P201-P205,P203-multiplex,NB03,EXP-NBD104
P203,P203-singleplex,,
P201-P205,P204,NB04,EXP-NBD104
P201-P205,P205-multiplex,NB05,EXP-NBD104
P205,P205-singleplex,,
P206,P206,,
P207,P207,,
P208,P208,,
P209,P209,,
P210,P210,,
P211-P2015,P211-multiplex,NB01,EXP-NBD104
P211,P211-singleplex,,
P211-P2015,P212,NB02,EXP-NBD104
P211-P2015,P213-multiplex,NB03,EXP-NBD104
P213,P213-singleplex,,
P211-P2015,P214,NB04,EXP-NBD104
P211-P2015,P215,NB05,EXP-NBD104
P216,P216,,
P217,P217,,
P218,P218,,
P219,P219,,
P220,P220,,
P221-P225,P221,NB01,EXP-NBD104
P221-P225,P222-multiplex,NB02,EXP-NBD104
P222,P222-singleplex,,
P221-P225,P223,NB03,EXP-NBD104
P221-P225,P224,NB04,EXP-NBD104
P221-P225,P225-multiplex,NB05,EXP-NBD104
P225,P225-singleplex,,
P226,P226,,
P227,P227,,
P228,P228,,
P229,P229,,
P230,P230,,
P231,P231,,
P201-P205,PCtrl-1-multiplex,NB06,EXP-NBD104
PCtrl-1,PCtrl-1-singleplex,,
PCtrl-2,PCtrl-2,,
P211-P2015,PCtrl-3-multiplex,NB06,EXP-NBD104
PCtrl-3,PCtrl-3-singleplex,,
PCtrl-4,PCtrl-4,,
P221-P225,PCtrl-5-multiplex,NB06,EXP-NBD104
PCtrl-5,PCtrl-5-singleplex,,
PCtrl-6,PCtrl-6,,
Multi_2plus_sputum,Test_15-multiplex,NB01,EXP-NBD104
Test_15,Test_15-singleplex,,
Test_16,Test_16,,
Test_18,Test_18,,
Test_19,Test_19,,
Test_20,Test_20,,
Test_22,Test_22,,
Test_23,Test_23,,
Test_28,Test_28-singleplex,,
Multi_2plus_sputum,Test_28-multiplex,NB02,EXP-NBD104
Test_32,Test_32,,
Test_34,Test_34,,
Test_36,Test_36-singleplex,,
Multi_3Plus_sputum,Test_36-multiplex,NB01,EXP-NBD104
Multi_3Plus_sputum,Test_37,NB02,EXP-NBD104
Test_38,Test_38,,
Multi_2plus_sputum,Test_40,NB03,EXP-NBD104
Test_41,Test_41,,
Test_42,Test_42-singleplex,,
Multi_1Plus_sputum,Test_42-multiplex,NB01,EXP-NBD104
Test_43,Test_43-singleplex,,
Multi_3Plus_sputum,Test_43-multiplex,NB03,EXP-NBD104
Multi_3Plus_sputum,Test_45,NB04,EXP-NBD104
Test_46,Test_46,,
Multi_3Plus_sputum,Test_47,NB05,EXP-NBD104
Multi_2plus_sputum,Test_48,NB04,EXP-NBD104
Multi_1Plus_sputum,Test_50,NB03,EXP-NBD104
Test_51,Test_51,,
Multi_1Plus_sputum,Test_52,NB04,EXP-NBD104
Test_53,Test_53,,
Test_54,Test_54-singleplex,,
Multi_1Plus_sputum,Test_54-multiplex,NB02,EXP-NBD104
Multi_2plus_sputum,Test_55,NB05,EXP-NBD104
Test_56,Test_56,,
Multi_1Plus_sputum,Test_60,NB05,EXP-NBD104
Test_65,Test_65,,
Test_NC1,Test_NC1-singleplex,,
Multi_3Plus_sputum,Test_NC1-multiplex,NB06,EXP-NBD104
Test_NC2,Test_NC2-singleplex,,
Multi_2plus_sputum,Test_NC2-multiplex,NB06,EXP-NBD104
Test_NC3,Test_NC3-singleplex,,
Multi_1Plus_sputum,Test_NC3-multiplex,NB06,EXP-NBD104
Test_NC4,Test_NC4,,
Test_NC5,Test_NC5,,
Test_NC6,Test_NC6,,